Country;Continent;Sub Region;Year;GDP per Capita (Grouped);Life Expectancy (Grouped);C02 Emissions per Person (Tonnes);Child Mortality Rate (per 1000 births);GDP per Capita;Life Expectancy;Population Total
Gabon;Africa;Middle Africa;1961;<5000;>=40 and < 50;0,327;226;1650;44,1;506000
Gambia;Africa;Western Africa;1961;<5000;>=40 and < 50;0,0584;353;1350;45,7;372000
Georgia;Asia;Western Asia;1961;<5000;>60;1,68;83,8;3400;61,3;4080000
Germany;Europe;Western Europe;1961;>= 5000 and <20000;>60;11,3;38,4;15300;69,8;73900000
Ghana;Africa;Western Africa;1961;<5000;>=50 and <= 60;0,196;207;2270;51,3;6850000
Greece;Europe;Southern Europe;1961;>= 5000 and <20000;>60;1,18;45,3;6630;70,9;8310000
Grenada;Americas;Caribbean;1961;<5000;>60;0,201;74,4;2120;63,5;91300
Guatemala;Americas;Central America;1961;<5000;>=40 and < 50;0,325;215;3340;45,1;4340000
Guinea;Africa;Western Africa;1961;<5000;>=40 and < 50;0,17;349;844;42,5;3550000
Guinea-Bissau;Africa;Western Africa;1961;<5000;0-40;0,0471;316;1260;39,1;623000
Guyana;Americas;South America;1961;<5000;>=50 and <= 60;1,25;88,4;3160;59,5;589000
Haiti;Americas;Caribbean;1961;<5000;>=40 and < 50;0,0753;281;2160;41,4;3940000
Honduras;Americas;Central America;1961;<5000;>=50 and <= 60;0,352;204;2490;50,9;2100000
Hungary;Europe;Eastern Europe;1961;>= 5000 and <20000;>60;4,88;51;9600;68,9;10000000
Iceland;Europe;Northern Europe;1961;>= 5000 and <20000;>60;6,1;21,1;10900;73,6;179000
India;Asia;Southern Asia;1961;<5000;>=40 and < 50;0,284;242;1040;42,2;460000000
Indonesia;Asia;South-Eastern Asia;1961;<5000;>=40 and < 50;0,289;216;1810;46,7;90100000
Iraq;Asia;Western Asia;1961;>= 5000 and <20000;>=50 and <= 60;1,17;183;6580;51,1;7480000
Ireland;Europe;Northern Europe;1961;>= 5000 and <20000;>60;4,38;33,8;8220;69,9;2790000
